time,pIn,pOut,mdotA
0.7,0.08734001663124,8.2286170414913,0.000450431382838512
0.700002904741039,0.0873995762582589,8.22867063881499,0.000450337590011118
0.700003433029359,0.0874103911790494,8.22868038645841,0.000450322392387403
0.70000396131768,0.0874211716428391,8.22869013378741,0.000450307421023144
0.700004489606,0.0874319177144222,8.22869988078369,0.000450290532056807
0.70000450040581,0.0874321370379597,8.22870008003826,0.000450290167156975
0.700004500405817,0.087432137038104,8.2287000800384,0.000450290167156753
0.700007141847418,0.0874848432920055,8.22874880396559,0.000450193756538653
0.70001242473062,0.0875882141690304,8.22884623197874,0.000450004850431396
0.70001913679344,0.0877135227052976,8.22896995924701,0.000449759538508676
0.70002858008793,0.0878781976512628,8.22914392223735,0.000449416022923865
0.700043241185818,0.0881078335515208,8.22941375154839,0.000448884256965876
0.700061448085797,0.0883526056318199,8.22974840288655,0.000448211421739619
0.700086479677667,0.0886265945333152,8.2302076920476,0.000447272937228627
0.700111511269537,0.0888404025327576,8.23066603571385,0.000446315815562204
0.700158250727828,0.0891213493659857,8.23151926756313,0.000444488108008401
0.700204990186118,0.0892900233486792,8.23236904145194,0.00044260951788655
0.700251729644408,0.0893867829250328,8.2332152632875,0.000440684800291136
0.700309851957579,0.0894462735511066,8.23426248300394,0.000438231597687855
0.700367974270751,0.0894652093669843,8.23530392371585,0.000435718565497845
0.70044783197899,0.0894577256431182,8.23672511959072,0.000432170538726018
0.70052768968723,0.0894311452002322,8.23813478693932,0.000428523634909306
0.700646204088868,0.0893793862371396,8.24020482015038,0.000422927095441783
0.700792947488506,0.089308396614143,8.24273010897483,0.000415720301460643
0.701,0.0892022516574142,8.24621850526992,0.000405022854986004
0.701259150443114,0.0890571374312214,8.25045415873142,0.000390804189057792
0.701627445060267,0.0888224027492975,8.25620484263082,0.000369001007137548
0.702,0.0885530180337102,8.26167620118693,0.00034512576086021
0.702652374736486,0.0880258907579078,8.27032422318684,0.000298917059758597
0.703,0.0877255898209019,8.27441653645372,0.000272551007557298
0.703785841184724,0.0870349123431593,8.28217367511745,0.000206300816312899
0.704,0.086846801678966,8.28391897514454,0.000188776251635381
0.705,0.0860151350398334,8.2897310336974,9.28825200356975e-05
0.705750869540357,0.0854570035042914,8.29148448763348,2.02250893061029e-05
0.706,0.0852887251596513,8.29155178644206,-7.14335558127388e-06
0.7063,0.0850949959283586,8.29127731877256,-3.71629353498326e-05
0.7066,0.0849103211238622,8.29061576092452,-6.96362466654499e-05
0.707,0.0846832914077867,8.2891296241452,-0.000110326374848979
0.707506873880982,0.0844271071749489,8.2862552599215,-0.000164431708803536
0.708,0.084210988422384,8.2823988911462,-0.000214631064838655
0.708297299021149,0.0840958542381094,8.2795737483035,-0.000246167533855979
0.708594598042299,0.0839918070338343,8.27637650242385,-0.000275520460032985
0.708891897063448,0.0838988202600609,8.27281301781187,-0.000306173609778249
0.709,0.0838677521526277,8.27142719617865,-0.000316146564550479
0.709051073067682,0.0838535777170735,8.27075621419606,-0.000321703758622838
0.709102146135364,0.0838397272608454,8.27007448010447,-0.000326422888170419
0.709139971591676,0.0838296792206559,8.26956296227995,-0.000330245339454027
0.709177797047988,0.083819810392216,8.26904560001574,-0.000333968852533228
0.709202253368172,0.0838135252638856,8.26870810033434,-0.000336229234609409
0.709226709688355,0.0838073154359589,8.26836818427298,-0.000338796096172378
0.709256703590344,0.083799802534937,8.26794806054471,-0.000341510303061288
0.709290326216488,0.0837915159025041,8.26747286277284,-0.000344969268819106
0.709323948842632,0.0837833725157042,8.26699317804052,-0.000348033958288974
0.709357571468776,0.0837753727361944,8.26650903372023,-0.000351454589597844
0.709398858517309,0.0837657464061252,8.26590842123909,-0.000355265841439523
0.709449981983096,0.0837541287346912,8.26515544931785,-0.000360321672597363
0.709516911498998,0.0837394269207542,8.26415421891988,-0.000366568426674818
0.70961057485827,0.0837198265248985,8.26272384857223,-0.000375592448185635
0.709758082385013,0.0836912918418488,8.26040271599212,-0.000389314424259157
0.71,0.0836508367094931,8.25641747572619,-0.00041178187966906
0.710324374457536,0.0836095839847976,8.25073415510488,-0.000440770197970508
0.710648748915071,0.0835843968036116,8.24467431920281,-0.000468938314360789
0.711,0.0835777084837908,8.23770630088994,-0.000497866640665146
0.711351251084928,0.0835962781009871,8.2303368219788,-0.000525571021746996
0.711702502169857,0.0836470738869211,8.22258930551248,-0.000551400997336193
0.712,0.0837235626812881,8.21574974008387,-0.000572185372190115
0.712146098260756,0.0837751426079728,8.21230251220331,-0.00058171694339465
0.712292196521513,0.0838381787393425,8.20880022950828,-0.000591134572468233
0.712409164673083,0.0838982758687718,8.20595779992354,-0.000598284270377503
0.712526132824654,0.0839684285511743,8.20308231595363,-0.000605406453483281
0.712629808528239,0.0840402660835384,8.2005067849042,-0.000611375655716062
0.712733484231824,0.0841225690997159,8.19790684298311,-0.000617346395752727
0.712813438962277,0.0841941093800651,8.19588554539337,-0.000621682890269759
0.71289339369273,0.0842735849354815,8.19385053385491,-0.00062607740288434
0.713,0.0843935660155225,8.19111647959721,-0.00063158970669136
0.713080326022904,0.0844957514735442,8.1890412054709,-0.000635754613148742
0.713160652045809,0.0846093921126209,8.18695328576588,-0.000639653182270938
0.713238055626771,0.0847308938707781,8.18492971617228,-0.00064345527842552
0.713315459207733,0.0848653215089515,8.18289507661246,-0.000647009079127792
0.713398746778789,0.0850257065033156,8.18069380228819,-0.000650863084125652
0.713482034349846,0.0852036673025329,8.17848051342332,-0.000654463636814262
0.713598111388942,0.085481267084576,8.17537668000627,-0.00065943624959891
0.713674960410744,0.0856706504138524,8.17330990232756,-0.000662498776139775
0.713676954845537,0.085675608386894,8.17325613844203,-0.000662576009404781
0.713676954845544,0.0856756083869116,8.17325613844184,-0.000662571432440306
0.713722085371326,0.0857620812843704,8.17203619666149,-0.000664542123054723
0.713812346422889,0.0859038334014058,8.16959158209086,-0.000667329638136094
0.713902607474453,0.0859978488978963,8.16713516096407,-0.000671398016769242
0.713931825232117,0.0860218263753974,8.16633739850014,-0.000672008825879145
0.713961042989781,0.0860437941149154,8.16553859456326,-0.000673290560229856
0.714,0.0860705694546466,8.16447162360329,-0.000674569973360684
0.714025417588948,0.0860867382677117,8.16377441179633,-0.000675504864073584
0.714050835177895,0.0861020704051148,8.16307631376761,-0.000676407932053869
0.714073850723346,0.086115330539974,8.1624434620243,-0.000677174417202442
0.714096866268797,0.0861280775849993,8.16180990735355,-0.00067802233197195
0.714116221904175,0.0861384460907351,8.16127656039793,-0.000678649077152926
0.714135577539552,0.0861485293706845,8.1607427210741,-0.000679368471574571
0.714151877328225,0.0861568198782202,8.16029277756249,-0.000679902047378056
0.714168177116897,0.0861649432169355,8.15984248283636,-0.00068050868795444
0.714182090627664,0.0861717548646539,8.15945782756315,-0.000680978558437351
0.714196004138431,0.0861784618732603,8.15907291180015,-0.000681498515441858
0.714236083888083,0.0861972647394623,8.15796259477944,-0.000682972370288248
0.714248107812979,0.0862027643136413,8.1576290537629,-0.000683452670944384
0.714260131737874,0.0862082059309623,8.15729529636599,-0.00068391786682992
